Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote,,
SIF,"SIFCO Industries, Inc.",22.28,119198000,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/sif,,
PHF,"Pacholder High Yield Fund, Inc.",9.09,117888210,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/phf,,
NKO,Nuveen New York Dividend Advantage Municipal Income Fund,14.75,117070750,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nko,,
LOV,"Spark Networks, Inc.",5.67,116784990,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/lov,,
LCI,Lannett Co Inc,4.05,114878250,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lci,,
CGR,"Claude Resources, Inc.",0.6848,112738624,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/cgr,,
CAK,CAMAC Energy Inc.,0.725,112661375,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cak,,
SOQ,Sonde Resources Corp,1.8,112141800,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/soq,,
NEP,China North East Petroleum Holdings Limited,3.11,110669350,n/a,2004,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nep,,
EMXX,Eurasian Minerals Inc.,2.04,106561440,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emxx,,
CVM,Cel-Sci Corporation,0.41,105246180,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm,,
IF,"Aberdeen Indonesia Fund, Inc.",12.44,102903680,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/if,,
CCF,Chase Corporation,11.31,102378120,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf,,
MEA,Metalico Inc,2.15,102245400,n/a,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/mea,,
GGN^A,"GAMCO Global Gold, Natural Reources & Income Trust by Gabelli",25.82,102143920,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^a,,
ERH,Wells Fargo Advantage Utilities and High Income Fund,11.18,101324340,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/erh,,
CEV,Eaton Vance California Municipal Income Trust,13.67,99025480,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/cev,,
NXJ,Nuveen New Jersey Dividend Advantage Municipal Fund,15.042,98825940,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nxj,,
CLM,"Cornerstone Strategic Value Fund, Inc.",6.85,98441350,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/clm,,
QRM,Quest Rare Minerals Ltd,1.59,98150700,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/qrm,,
VOG,"Voyager Oil & Gas, Inc.",1.67,97608160,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vog,,
URZ,Uranerz Energy Corporation,1.26,97220340,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/urz,,
HBP,Helix Biopherma Cp,1.41,94746360,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/hbp,,
NXK,Nuveen New York Dividend Advantage Municipal Fund 2,14.46,93830940,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nxk,,
NNB,Nuveen Virginia Dividend Advantage Municipal Fund 2,16.27,93406070,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nnb,,
ECF,"Ellsworth Convertible Growth and Income Fund, Inc.",6.96,93326640,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/ecf,,
SSN,Samson Oil & Gas Limited,1.69,90484290,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ssn,,
EGI,Entree Gold Inc,0.7118,90410700.6,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi,,
APP,American Apparel Inc,0.85,90012450,n/a,1994,Finance,Business Services,http://www.nasdaq.com/symbol/app,,
